Name,Description,Latitude,Longitude
COM3,School of Computing COM3. Meet at the level 1 main entrance.,1.29494,103.77438
COM2 (LT19),School of Computing COM2. Meet outside LT19 on level 1.,1.29373,103.7743
Central Library,Meet at the level 1 main entrance of the Central Library.,1.296444,103.773032
AS8,FASS AS8. Meet at the level 1 entrance.,1.29612,103.77215
Yusof Ishak House (YIH),Meet at Central Square on level 1 of YIH.,1.29844,103.77263
BIZ2,NUS Business School BIZ2. Meet at the level 1 entrance.,1.29322,103.77556
S17,Faculty of Science S17. Meet at the level 1 entrance.,1.29772,103.78066
SDE3,College of Design and Engineering SDE3. Meet at the level 1 entrance.,1.29799,103.77047
E3A,College of Design and Engineering E3A. Meet at the level 1 entrance.,1.3004,103.77125
Engineering Auditorium (EA),Meet outside LT7 next to the Engineering Auditorium.,1.30008,103.77108
UTown Stephen Riady Centre,University Town. Meet at the level 1 entrance of Stephen Riady Centre.,1.3042,103.7729
UTown Education Resource Centre,University Town. Meet at the level 1 entrance of the ERC.,1.30623,103.77292
Prince George's Park House (PGPH),Meet at the main entrance of PGP House.,1.2909,103.78055
Tembusu College,University Town. Meet at the main entrance of Tembusu College.,1.30586,103.77346
Residential College 4 (RC4),University Town. Meet at the main entrance of RC4.,1.30825,103.77289
Shaw Foundation Alumni House (SFAH),Meet at the main entrance of Shaw Foundation Alumni House.,1.29338,103.77356
Eusoff Hall,Meet at the main entrance of Eusoff Hall.,1.29174,103.77461
Temasek Hall,Meet at the main entrance of Temasek Hall.,1.29272,103.77129
Kent Ridge Hall,Meet at the main entrance of Kent Ridge Hall.,1.29158,103.77476
Sheares Hall,Meet at the main entrance of Sheares Hall.,1.29139,103.77543
Raffles Hall,Meet at the main entrance of Raffles Hall.,1.29975,103.77392
King Edward VII Hall (KEVII),Meet at the main entrance of King Edward VII Hall.,1.29221,103.78085
PGP Residences (PGPR),Prince George's Park Residences. Meet at level 1 of Block 10.,1.29138,103.77764
SDE4,College of Design and Engineering SDE4. Meet at the level 1 entrance.,1.29678,103.77042
MD11,Medicine Block MD11. Meet at the level 1 entrance.,1.29605,103.78174
S8,Faculty of Science S8. Meet at the level 1 entrance.,1.2961,103.7793
College of Alice and Peter Tan (CAPT),University Town. Meet at the main entrance of CAPT.,1.30772,103.77329
UTown Town Plaza,University Town. Meet at Town Plaza.,1.30397,103.77344
Yong Siew Toh Conservatory of Music,Meet at the main entrance of the Yong Siew Toh Conservatory of Music.,1.3023,103.77267
COM1,School of Computing COM1. Meet at the level 1 entrance.,1.29487,103.77396
S16,Faculty of Science S16. Meet at the level 1 entrance.,1.29672,103.78015
AS5,FASS AS5. Meet at the level 1 entrance.,1.29409,103.77176
E4,College of Design and Engineering E4. Meet at the level 1 entrance.,1.29831,103.77228
